0,0,86,
0,4,84,
0,44,638,
0,76,779,
0,112,367,
0,128,181,
0,132,182,
0,152,1522,
0,168,1310,
0,184,922,
0,200,627,
0,208,628,
0,212,629,
0,244,985,
0,260,1819,
0,292,43,
0,312,1082,
0,328,343,
0,336,342,
0,340,344,
0,392,422,
0,416,788,
0,456,478,
0,460,477,
0,504,1515,
0,528,1265,
0,548,364,
0,552,363,
0,592,1570,
0,604,1569,
0,628,1311,
0,632,1313,
0,648,1312,
0,668,1307,
0,684,1886,
0,708,1257,
0,712,1259,
0,744,1803,
0,748,674,
0,792,358,
0,844,1980,
0,860,688,
0,868,687,
0,880,689,
0,920,713,
0,936,711,
0,940,712,
0,960,437,
0,988,1934,
0,1004,1932,
0,1016,1849,
0,1020,1850,
4,4,85,
4,76,778,
4,84,777,
4,276,405,
4,396,420,
4,540,365,
4,768,448,
4,904,1987,
4,968,436,
8,16,617,
8,60,1919,
8,236,981,
8,404,421,
8,480,1630,
8,580,1085,
8,896,1986,
8,996,1963,
12,236,982,
12,300,331,
12,316,332,
12,344,390,
12,364,488,
12,376,486,
12,432,1668,
12,448,479,
12,888,1988,
12,960,435,
12,992,1962,
12,1004,1964,
12,1020,1933,
16,8,615,
16,24,781,
16,120,1594,
16,236,983,
16,508,796,
16,752,1787,
16,828,1833,
16,1020,1788,
20,8,616,
20,32,353,
20,96,556,
20,152,45,
20,176,5,
20,220,984,
20,296,330,
20,496,755,
20,608,1571,
20,704,74,
20,796,1538,
20,848,1734,
20,976,1931,
20,1012,1929,
24,52,432,
24,104,555,
24,132,180,
24,392,2170,
24,476,1629,
24,576,931,
24,728,1305,
24,792,1537,
24,984,1789,
28,8,637,
28,48,146,
28,192,1523,
28,428,2161,
28,564,1264,
28,652,1306,
28,676,1805,
28,840,1736,
28,928,26,
28,976,1790,
28,988,1930,
32,28,352,
32,204,923,
32,372,2040,
32,516,359,
32,628,804,
32,752,71,
32,892,25,
32,1020,708,
36,24,351,
36,100,1993,
36,124,1969,
36,160,1807,
36,224,986,
36,252,1309,
36,308,1060,
36,328,691,
36,412,582,
36,432,2162,
36,456,2109,
36,552,879,
36,812,636,
36,864,24,
40,0,65,
40,4,64,
40,72,1624,
40,356,1101,
40,480,1486,
40,584,754,
40,700,1302,
40,780,1536,
40,828,1563,
40,960,443,
44,148,1808,
44,260,1314,
44,540,2094,
44,672,914,
44,696,912,
44,732,242,
48,32,950,
48,72,1625,
48,104,557,
48,136,1156,
48,172,52,
48,236,214,
48,276,1315,
48,292,1308,
52,72,1623,
52,400,408,
52,896,2043,
52,920,1295,
52,980,350,
52,1016,709,
52,1020,710,
56,8,1100,
56,188,207,
56,212,2079,
56,320,468,
56,368,913,
56,424,1673,
56,444,970,
56,468,640,
56,756,69,
56,856,1884,
60,100,368,
60,220,2080,
60,248,213,
60,516,1340,
60,528,1339,
60,728,827,
60,800,456,
60,832,1856,
60,932,911,
64,16,782,
64,120,53,
64,136,1157,
64,176,208,
64,396,803,
64,488,273,
64,580,1110,
64,648,1887,
64,732,826,
64,864,1885,
64,908,909,
64,952,703,
68,272,1555,
68,300,1301,
68,336,16,
68,368,785,
68,560,1111,
68,612,1065,
68,628,1084,
68,800,1613,
68,916,910,
68,992,928,
72,20,1058,
72,148,1806,
72,380,784,
72,612,1047,
72,1004,1842,
76,52,1595,
76,320,1521,
76,472,1611,
76,556,1112,
76,680,1176,
76,704,240,
76,804,1557,
76,860,1888,
80,0,1568,
80,32,2075,
80,52,1593,
80,80,1207,
80,84,2053,
80,344,1043,
80,356,1063,
80,408,235,
80,452,2064,
80,648,1081,
80,728,241,
80,884,409,
80,980,949,
84,16,542,
84,100,434,
84,152,1155,
84,200,786,
84,232,107,
84,244,106,
84,396,1117,
84,432,1554,
84,504,1572,
84,516,1574,
84,764,2033,
84,768,473,
84,860,1889,
84,1016,1232,
88,132,63,
88,172,162,
88,284,1006,
88,364,13,
88,668,1895,
88,932,1298,
88,992,1428,
92,0,702,
92,260,301,
92,900,1921,
92,964,1567,
96,0,704,
96,116,49,
96,316,1286,
96,536,135,
96,624,2145,
96,708,1649,
96,712,1647,
96,720,825,
96,804,458,
96,1020,701,
100,36,433,
100,52,1820,
100,84,137,
100,160,163,
100,284,1005,
100,336,1129,
100,380,159,
100,428,1556,
100,488,324,
100,844,136,
104,180,164,
104,220,2028,
104,500,1168,
104,572,470,
104,592,1102,
104,644,1994,
104,752,797,
104,820,1368,
104,908,1922,
104,968,349,
108,16,492,
108,140,1173,
108,220,1470,
108,876,735,
108,896,1804,
112,0,1364,
112,16,495,
112,36,1297,
112,268,328,
112,300,1130,
112,360,171,
112,448,1300,
112,464,192,
112,500,1009,
112,572,1040,
112,608,1103,
112,668,73,
112,820,1212,
116,96,745,
116,172,23,
116,232,1210,
116,320,1128,
116,352,172,
116,400,1548,
116,520,147,
116,656,737,
116,684,936,
116,768,1672,
116,820,1213,
116,944,1140,
116,984,1844,
116,1020,476,
120,76,571,
120,100,744,
120,196,51,
120,348,173,
120,472,193,
120,508,1916,
120,540,93,
120,856,1293,
120,940,1497,
120,1020,474,
124,24,570,
124,44,1296,
124,120,1750,
124,420,1369,
124,700,426,
124,908,1818,
128,128,1751,
128,204,1493,
128,636,1059,
128,756,1487,
128,844,2036,
132,68,493,
132,128,1749,
132,160,2045,
132,244,2029,
132,296,2081,
132,440,1516,
132,488,1244,
132,568,787,
132,1020,475,
136,0,484,
136,32,497,
136,68,572,
136,148,1175,
136,176,169,
136,532,95,
136,592,17,
136,720,1032,
136,788,1227,
136,820,1229,
136,876,1970,
136,964,1363,
140,268,306,
140,380,831,
140,384,833,
140,464,1552,
140,744,411,
140,900,1663,
140,1004,345,
144,216,1984,
144,244,1471,
144,356,1517,
144,560,385,
144,652,487,
144,680,1035,
144,944,1566,
